        6       20        1     0.1439796359E-03
        7       24        1     0.2290471171E-03
        8       34        1     0.3044368229E-03
        9       38        1     0.3790272341E-03
       10       42        1     0.4527065287E-03
       11       46        1     0.5285974333E-03
       12       48        1     0.6132930223E-03
       13       50        1     0.6975534083E-03
       14       56        1     0.8054980828E-03
       15       58        1     0.9027786723E-03
       16       60        1     0.1018011294E-02
       17       64        1     0.1123674372E-02
       18       68        1     0.1245642633E-02
       14        8        1     0.8013007811E-04
       15       14        1     0.1906738813E-03
       16       18        1     0.2835744068E-03
       17       24        1     0.3903120587E-03
       18       30        1     0.4940890545E-03
        1        8        1     0.5205229296E-06
        2       14        1     0.8682013960E-06
        3       18        1     0.8318011928E-06
        4       26        1     0.1116467628E-05
        5       30        1     0.1250217357E-05
        6       36        1     0.6008186788E-06
        7       40        1     0.2324077777E-06
        8       44        1     0.5798306898E-08
        9       50        1     0.2130532173E-07
       10       54        1     0.2995938893E-08
       11       58        1     0.5119559476E-08
       12       62        1     0.2130916727E-07
       13       64        1     0.2541071149E-07
       14       68        1     0.6443062316E-07
       15       70        1     0.6065939946E-07
       16       72        1     0.6707222184E-07
       11        6        1     0.8535673166E-05
       12       10        1     0.2812407565E-04
       13       16        1     0.4694919965E-04
       14       20        1     0.6454362798E-04
       15       22        1     0.7928071727E-04
       16       26        1     0.9438214522E-04
       17      112        2     0.2417193657E-04
        3       12        1     0.4881488019E-04
        4       18        1     0.9881559406E-04
        5       26        1     0.1532997763E-03
        6       30        1     0.2044928065E-03
        7       36        1     0.2697981126E-03
        8       42        1     0.3227029490E-03
        9       46        1     0.3812228683E-03
       10       50        1     0.4337837285E-03
       11       54        1     0.5070447295E-03
       12       58        1     0.5690815259E-03
       13       62        1     0.6414878733E-03
       14       64        1     0.7088526214E-03
       15       66        1     0.7935539614E-03
       16       70        1     0.8711920463E-03
       17       74        1     0.9586105225E-03
       18      192        3     0.6192880982E-03
       19      304        5     0.1038720195E-04
       20      310        5     0.1570099316E-04
       16        8        1     0.2652166286E-06
       17       14        1     0.9958982852E-06
       18       18        1     0.1783726894E-05
       19       22        1     0.2637336236E-05
       20       28        1     0.3693786303E-05
        8        6        1     0.2429221668E-04
        9       16        1     0.1567350874E-03
       10       30        1     0.3619580509E-03
       11       34        1     0.5395849953E-03
       12       36        1     0.6958321080E-03
       13       40        1     0.8650701293E-03
       14       42        1     0.1009607775E-02
       15       44        1     0.1160753749E-02
       16       48        1     0.1333800229E-02
       17       50        1     0.1495706390E-02
       18       54        1     0.1671883189E-02
       19       58        1     0.1855321827E-02
       20       62        1     0.2033163577E-02
       21      410        7     0.2073863066E-03
       22      414        7     0.2170162773E-03
       23      420        7     0.2213260037E-03
       24      522        9     0.2904318989E-04
       25      526        9     0.4357811737E-04
       26      528        9     0.5421884670E-04
       27      532        9     0.6577896165E-04
       28      534        9     0.7415732208E-04
       29      538        9     0.8256931737E-04
       24       16        1     0.1637525965E-03
       25       22        1     0.3059444947E-03
       14        6        1     0.1765500874E-04
       15       14        1     0.1062569217E-03
       16       24        1     0.2283774793E-03
       17       28        1     0.3430227156E-03
       18       32        1     0.4571024843E-03
       19       36        1     0.5710552774E-03
       20       38        1     0.6677817081E-03
       21       40        1     0.7800897155E-03
       22       44        1     0.8958896052E-03
       23       44        1     0.9921506512E-03
       24       48        1     0.1113416297E-02
       25       52        1     0.1223097538E-02
       26       86        2     0.1830268411E-02
       27       88        2     0.2077550642E-02
       28       92        2     0.2303385327E-02
       29       96        2     0.2565296073E-02
       30      644       11     0.7887560367E-04
       31      644       11     0.9018660606E-04
       32      648       11     0.1008990209E-03
       33      652       11     0.1077195340E-03
       34      656       11     0.1141459291E-03
       35      764       14     0.2231183623E-04
       36      766       14     0.2858849457E-04
       37      770       14     0.3397972569E-04
       38      772       14     0.3866722614E-04
       39      774       14     0.4264222816E-04
       40      778       14     0.4585075359E-04
       32       12        1     0.4870232301E-04
       19        2        0     0.1240766015E-05
       19       10        1     0.2058669707E-04
       20       20        2     0.5958746482E-04
       21       24        2     0.8927832147E-04
       22       30        2     0.1220558779E-03
       23       34        2     0.1511852209E-03
       24       36        2     0.1776912306E-03
       25       38        2     0.1985333306E-03
       26       42        2     0.2237472254E-03
       27       44        2     0.2453055126E-03
       28       46        2     0.2629590575E-03
       29       48        2     0.2920255588E-03
       30       52        2     0.3088227198E-03
       31       52        2     0.3336942839E-03
       32       56        2     0.3654051079E-03
